aluba	阿鲁巴
ayixitielu	阿姨洗铁路
aima	艾玛
aojiao	傲娇
baihe	百合
bangdai	绑带
baozhong	暴种
benghuai	崩坏
biandang	便当
bingjiao	病娇
buluma	布鲁马
bumo	补魔
chengge	诚哥
chongjiao	虫角
chushou	触手
chuanyue	穿越
ciyuan	次元
damengshen	大萌神
dashu	大叔
daimao	呆毛
danmei	耽美
ditupao	地图炮
dianbo	电波
diaobaole	屌爆了
doushishichendecuo	都是时辰的错
dushe	毒舌
fuhei	腹黑
funv	腐女
gete	哥特
gongkou	工口
guaishushu	怪蜀黍
guanpei	官配
guanxiqiang	关西腔
guichu	鬼畜
guiyin	鬼隐
haochuan	好船
heti	合体
heihua	黑化
hougong	后宫
huilaojiajiehun	回老家结婚
jimeng	激萌
jiqing	基情
jianwangsan	剑网三
juchangban	剧场版
juru	巨乳
jueduilingyu	绝对领域
konger	空耳
koupi	口癖
leiliumanmian	泪流满面
longzhigu	龙之谷
luguanzi	撸管子
luanru	乱入
luoli	萝莉
madan	妈蛋
maichun	卖蠢
maimeng	卖萌
manhua	漫画
maoniang	猫娘
meidou	妹抖
mengnirenhua	萌拟人化
mengzhan	萌战
mianma	面码
miantan	面瘫
mofashi	魔法师
mopao	魔炮
naobu	脑补
nvpu	女仆
pinru	贫乳
puhahahahaha	噗哈哈哈哈哈
rexue	热血
renshe	人设
renzhennijiushule	认真你就输了
ruanmeibi	软妹币
saigao	塞高
saoni	骚尼
saonian	骚年
shabisi	杀必死
shenyin	神隐
shengyou	声优
shouban	手办
shouer	兽耳
shourenluoli	兽人萝莉
shuichan	水产
sidarenzha	四大人渣
tianchao	天朝
tianrandai	天然呆
tongche	痛车
tongren	同人
tongrenzhi	同人志
tucao	吐槽
weiguan	围观
weiniang	伪娘
wocao	卧槽
wukou	无口
xingyue	型月
xingzhuan	性转
xionggui	兄贵
yanjingniang	眼镜娘
yinv	乙女
yintama	银他妈
youkuli	油库里
youxunran	幼驯染
yujie	御姐
yuyue	愉悦
yuzhaizu	御宅族
zaogao	糟糕
zhengtai	正太
zhiyuxi	治愈系
zhongdu	中毒
zhonger	中二
aleiluya	阿雷路亚
aniya	阿妮亚
aniya	阿尼亚
asilan	阿斯兰
axu	阿虚
baimugui	百目鬼
banshangzhidai	阪上智代
baoban	保阪
beitiaoshadouzi	北条沙都子
buzhihuomingnai	不知火明乃
chana	刹那
changmenyouxi	长门有希
chaobinai	朝比奈
chaobinaishijiuliu	朝比奈实玖瑠
chengqihuimei	城崎绘美
chuandaoyamei	川岛亚美
chuantianzhuji	川添珠姬
chunxiang	春香
dadixiang	大地翔
dahe	大河
dongma	冬马
fayi	法伊
fengbandahe	逢阪大河
fengzi	风子
gaoxulonger	高须龙儿
gewei	戈薇
gongzi	恭子
guhezhu	古河渚
guquanyishu	古泉一树
gushoulihua	古手梨花
guichuju	桂雏菊
heluo	赫萝
heigang	黒钢
heimi	黑蜜
heiqiyihu	黑崎一护
jila	基拉
jilinai	纪梨乃
jinuo	基诺
jitian	吉田
jiatengjiuhao	加藤久蒿
jianghuqianliunai	江户前留奈
jiegeng	桔梗
jiutiaomeihai	九条美海
junxun	君寻
kajiali	卡嘉莉
kalian	卡莲
lakesi	拉克丝
lala	拉拉
laihucan	瀬戸灿
lanka	兰卡
leioupalute	雷欧帕鲁特
lihua	梨花
lina	莉娜
linai	礼奈
lianggongchunri	凉宫春日
liangyishi	两仪式
lingqisa	绫崎飒
liunai	留奈
longer	龙儿
longgonglinai	龙宫礼奈
lufei	路飞
luluxiu	鲁路修
luluxiu	鲁鲁修
luzhigongyicheng	鹭之宫伊澄
luokeang	洛克昂
luolunsi	罗伦斯
maka	玛卡
maliya	玛利亚
mingren	鸣人
mokena	摩可拿
namei	娜美
nanali	娜娜莉
qianqiu	千秋
qianyejilinai	千叶纪梨乃
qiaoba	乔巴
qiuye	秋叶
quanyecha	犬夜叉
rifangudongshilang	日番谷冬狮郎
saibasijiang	塞巴斯将
sanqianyuan	三千院
shadouzi	沙都子
shashengwan	杀生丸
shangtiaodangma	上条当麻
shenfengwuyue	神风五月
shenwei	神威
shenweiguanling	神尾观铃
shinaili	实乃梨
shizitangqiuye	狮子堂秋叶
shumuzhuque	枢木朱雀
silangshenwei	司狼神威
siyueyiri	四月一日
suizhihua	穗之花
tenglinxing	藤林杏
tiyeliya	提耶利亚
tizi	提子
xizebu	西沢歩
xiaer	夏尔
xiali	夏莉
xiamu	夏目
xianai	夏奈
xiashu	夏树
xiangjishi	香吉士
xiaokui	小葵
xiaolang	小狼
xiaoying	小樱
xiaoyu	小羽
xiumubaizai	朽木白哉
xiumuluqiya	朽木露琪亚
xufanglinai	绪方理奈
xuelilu	雪莉露
yamei	亚美
yaoshisiliangzi	药师寺凉子
yichuifengzi	伊吹风子
yindikesi	茵蒂克丝
youfei	尤菲
youfeimiya	尤菲米亚
youzi	侑子
yuantengjingnai	远藤静奈
yuantengquannai	远藤泉奈
zaolaihaoyi	早濑浩一
zaoyinvyouren	早乙女有人
zhenzi	真子
zhidai	智代
zhizhishinaili	栉枝实乃梨
zhuque	朱雀
zuishanggongzi	最上恭子
zuozhu	佐助
aishabaobei	爱杀宝贝
baoliyuzhouhaizei	暴力宇宙海贼
chuangshengdatianshi	创圣大天使
fenleiguanshangzhinan	分类观赏指南
hanchanmingqizhishihuang	寒蝉鸣泣之时煌
juchangbanxinfanliebiao	剧场版新番列表
kongzhiguiji	空之轨迹
lingzhishimo	零之使魔
lunhuidelagelangri	轮回的拉格朗日
luomayuchang	罗马浴场
nanzigaozhongshengderichang	男子高中生的日常
nvhuangzhiren	女皇之刃
ouxiangdashi	偶像大师
richang	日常
shengdanzhiwen	圣诞之吻
shudiyushuangjianshubao	竖笛与双肩书包
tingbabadehua	听爸爸的话
weiwuyu	伪物语
wukoudesentianxiaojie	无口的森田小姐
xiamuyourenzhang	夏目友人帐
xinwangqiuwangzi	新网球王子
yinyuezhiyi	银月之翼
zaibianjiban	再编集版
zaishengxiadengdai	在盛夏等待
zhanjijuechang	战姬绝唱
zhentangeju	侦探歌剧
zhixiangzhanji	纸箱战机
zuqiuqishi	足球骑士
dudumaoguanchariji	嘟嘟猫观察日记
anmeibukenengnamekeai	俺妹不可能那么可爱
bawang	霸王
baitutang	白兔糖
baihexingrennaixuzi	百合星人奈绪子
bangqiudalianmeng	棒球大联盟
baoyinggui	薄樱鬼
baojiantiyu	保健体育
baobeigongzhu	宝贝公主
baoshichongwu	宝石宠物
baoliyuzhouhaidao	暴力宇宙海盗
baowan	爆丸
bendan	笨蛋
bendanceyanzhaohuanshou	笨蛋测验召唤兽
bihaide	碧海的
bixuelu	碧血录
bianyan	变研
cangqiong	苍穹
ceyan	测验
chaoyuanqisanjiemei	超元气三姐妹
chuyindao	初音岛
chunbaijiaoxiangqu	纯白交响曲
danteliandeshujia	丹特丽安的书架
danzhuren	弹珠人
daofengzhanshi	刀锋战士
diyupian	地狱篇
dierji	第二季
dianbonvyuqingchunnan	电波女与青春男
donghuaduanpian	动画短片
duimougefeixingyuandezhuiyi	对某个飞行员的追忆
emoasaxieerzaizhaohuanni	恶魔阿萨谢尔在召唤你
emonaiba	恶魔奶爸
fanwaixueyuanpian	番外学院篇
fanglangnanhai	放浪男孩
fangxuehoude	放学后的
feilunshaonian	飞轮少年
fenshenzhanshi	分身战士
fuheimeimeikongxiongji	腹黑妹妹控兄记
gangzhilianjinshushi	钢之炼金术师
gelateqishituan	哥拉特骑士团
gezhiwangzidianxia	歌之王子殿下
gezixinniang	鸽子新娘
gongzhulianren	公主恋人
guyingzailin	孤影再临
guyingzaixian	孤影再现
guaiwudaodenaji	怪物岛的纳基
guaiwuwangnv	怪物王女
guangzhimeishaonv	光之美少女
hamutailang	哈姆太郎
haoxianggaosuni	好想告诉你
hedianxiayiqi	和殿下一起
heijiao	黑礁
houpian	后篇
huakaiyilvbo	花开伊吕波
huapaiqingyuan	花牌情缘
huatouguizhisun	滑头鬼之孙
huanxiangjianianhua	幻想嘉年华
huangnvzhiren	皇女之刃
huiyilu	回忆录
huoqiu	火球
huoyingrenzhe	火影忍者
jidongzhanshigaoda	机动战士高达
jixingdonghuayanjiusuo	即兴动画研究所
jiaxiangxingkongzhiqiao	架向星空之桥
jianggutianjiang	江古田酱
jinganglang	金刚狼
jinshuduijue	金属对决
jinshuduijuezhandoutuoluo	金属对决战斗陀螺
jintiankaishilianaiba	今天开始恋爱吧
jinjitefan	紧急特番
jingjiexianshangdedipingxian	境界线上的地平线
kezhongshaonv	壳中少女
kenpufa	肯普法
kongzhijingjie	空之境界
koudaiyaoguai	口袋妖怪
kuaidaotianshishuangbaotai	快盗天使双胞胎
laiziyumeirenzhipo	来自虞美人之坡
lianaihuobi	恋爱货币
lianaishaonvdekuangxiangquji	恋爱少女的狂想曲祭
lianlifeiyi	恋离飞翼
linsi	临死
lingduzhanji	零度战姬
lingmeixiansheng	灵媒先生
lingyigezuizhonghui	另一个最终回
longtengshiji	龙腾世纪
longzhijiedian	龙之界点
ludidewanju	露蒂的玩具
ludianquanwan	露点犬丸
luolideshijian	萝莉的时间
luoqiushe	萝球社
maliyakuangre	玛莉亚狂热
manhuaribenxihua	漫画日本昔话
maomaocun	猫猫村
maoshenbabaiwan	猫神八百万
meishidefulu	美食的俘虏
mihucanting	迷糊餐厅
mihuruanwangshe	迷糊软网社
mimangguanjiayunuoruodewo	迷茫管家与懦弱的我
miniqunyuzhouhaizei	迷你裙宇宙海贼
mingrizhizhang	明日之丈
mingyunshizhimen	命运石之门
moxingzhanshi	模型战士
mofaqiaokelizhuanmendian	魔法巧克力专门店
mofashaonvxiaoyuan	魔法少女小圆
mofaxiaoemo	魔法小恶魔
mofangshaonv	魔方少女
mojushaonv	魔具少女
mojun	魔君
morumijiantie	魔乳秘剑帖
moshenkaisa	魔神凯撒
naiyazi	奈亚子
nijingwulaikaisi	逆境无赖开司
nvshenyiwenlu	女神异闻录
pingguohezhan	苹果核战
pojielupian	破戒录篇
porenzhijian	破刃之剑
qiannianmojing	千年魔京
qianbian	前编
qianpian	前篇
qianxingba	潜行吧
qingniandonghuazhizuozheyuchengjihua	青年动画制作者育成计划
qingzhiqumoshi	青之驱魔师
qingrenzhenhewolianai	请认真和我恋爱
quanzhilieren	全职猎人
quanwangchuangshiji	拳王创世纪
ranshao	燃烧
ruguodula	如果杜拉
sentiantongxuehenchenmo	森田同学很沉默
sentianxiaojiehenchenmo	森田小姐很沉默
shaludushi	杀戮都市
shandianshiyiren	闪电十一人
shangjuan	上卷
shaoniantongmeng	少年同盟
shaonvaishangjiejie	少女爱上姐姐
shendejishiben	神的记事本
shenshengqishi	神圣骑士
shenyang	神样
shenzhimiti	神之谜题
shengdoushixingshi	圣斗士星矢
shengdoushixingshimingwangshenhua	圣斗士星矢冥王神话
shenghenlianjinshi	圣痕炼金士
shimengzhe	食梦者
shimengzhemali	食梦者玛莉
shimengzhemali	食梦者玛利
shijiedahuipian	世界大会篇
shijiediyichulian	世界第一初恋
shumashouhetizhanzheng	数码兽合体战争
shumashouhetizhanzhengxinpian	数码兽合体战争新篇
shuohuangdenanhaiyuhuaidiaodenvhai	说谎的男孩与坏掉的女孩
siqiuleyuan	死囚乐园
taikongmolong	太空魔龙
taose	桃色
tebiepian	特别篇
tesaialapian	特塞阿拉篇
tengtangbian	藤堂编
tianjiangzhiwu	天降之物
tianshinvzihui	天使女子会
tiantangzhiwen	天堂之吻
tianlaizhiyin	天籁之音
tiequan	铁拳
tuniandingguagua	兔年顶呱呱
wanbanmaoerniang	玩伴猫耳娘
wangguodeajide	亡国的阿基德
wanglinghuanjing	亡灵幻境
wangqiuwangzi	网球王子
wangxianggaizaorengaicang	妄想改造人改藏
weileai	为了爱
weilairiji	未来日记
wenxueshaonv	文学少女
wodemofayujiatingri	我的魔法与家庭日
wodenvshen	我的女神
wodepengyouhenshao	我的朋友很少
womenmeiyouchibang	我们没有翅膀
womenrengweizhidaohuaming	我们仍未知道花名
womenrengweizhidaonatiansuokanjiandehuademingzi	我们仍未知道那天所看见的花的名字
wutouqishiyiwenlu	无头骑士异闻录
wuyemao	无业猫
wuzhuangshenji	武装神姬
xixuemao	吸血猫
xiyangyangyuhuitailang	喜羊羊与灰太狼
xianlechuanshuo	仙乐传说
xiangyangsumiao	向阳素描
xiaoyesilvchanghe	小野寺律场合
xieeliliang	邪恶力量
xinfanmingcheng	新番名称
xinpian	新篇
xintiaoleyuan	心跳乐园
xinzhiguodeailisi	心之国的爱丽丝
xingfuguangban	幸福光斑
xiongxiongranshao	熊熊燃烧
xueyuanjiuyuantuan	学园救援团
yanmojun	炎魔君
yandaideyexin	眼带的野心
yaoyebaihe	摇曳百合
yeliangju	野良剧
yiqiduanlian	一起锻炼
yiguomigongdeshizilukou	异国迷宫的十字路口
yinhun	银魂
yinmuheitaliya	银幕黑塔利亚
